"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 06:56:05.310820000 UTC","232","172.16.0.183","10.0.3.243","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","53.46.53.52"
"Jul  8 2016 06:46:24.188576000 UTC","236","172.16.0.198","10.0.4.6","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:57:31.511101000 UTC","234","172.16.0.166","10.0.3.154","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","50.46.49.52"
"Jul  8 2016 06:08:54.579909000 UTC","234","172.16.0.184","10.0.3.147","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","53.46.50.51"
"Jul  8 2016 06:22:21.481411000 UTC","238","172.16.0.164","10.0.4.61","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:42:47.507930000 UTC","234","172.16.0.163","10.0.3.173","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","50.46.49.56"
"Jul  8 2016 06:52:23.415108000 UTC","232","172.16.0.179","10.0.3.241","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","50.55.46.50"
"Jul  8 2016 06:31:37.959790000 UTC","232","172.16.0.165","10.0.3.154","autonationchevroletsuperstitionsprings.com","Internet (IN)","A","NoError","53.46.50.50"
