"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 07:12:26.259371000 UTC","229","172.16.0.192","10.0.4.19","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 07:26:14.354235000 UTC","229","172.16.0.166","10.0.4.10","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","50.55.46.50"
"Jul  8 2016 07:42:17.631156000 UTC","231","172.16.0.198","10.0.4.6","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","49.52.46.57"
"Jul  8 2016 07:55:23.422760000 UTC","229","172.16.0.191","10.0.3.247","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","50.55.46.50"
"Jul  8 2016 07:15:57.059695000 UTC","231","172.16.0.199","10.0.3.211","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 07:31:46.598043000 UTC","231","172.16.0.196","10.0.3.137","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","50.46.53.48"
"Jul  8 2016 07:28:00.671563000 UTC","233","172.16.0.193","10.0.3.188","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","53.46.50.49"
"Jul  8 2016 07:07:06.910503000 UTC","233","172.16.0.186","10.0.4.44","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","53.46.50.50"
"Jul  8 2016 07:11:05.432967000 UTC","231","172.16.0.175","10.0.3.179","www.coloring-pages-book-for-kids-boys.com","Internet (IN)","A","NoError","49.52.46.49"
