"frame_time","frame_len","ip_dst","ip_src","dns_qry_name","dns_qry_class_name","dns_qry_type_name","dns_qry_rcode_name","dns_a"
"Jul  8 2016 06:29:53.457453000 UTC","224","172.16.0.163","10.0.3.173","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","53.46.50.51"
"Jul  8 2016 06:28:11.287344000 UTC","226","172.16.0.170","10.0.3.168","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","49.46.50.51"
"Jul  8 2016 06:58:29.454093000 UTC","232","172.16.0.188","10.0.4.17","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:20:06.242524000 UTC","226","172.16.0.201","10.0.3.172","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","50.46.49.51"
"Jul  8 2016 06:34:45.778007000 UTC","230","172.16.0.173","10.0.3.238","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:13:55.318140000 UTC","230","172.16.0.166","10.0.4.50","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","49.52.46.49"
"Jul  8 2016 06:42:44.970930000 UTC","228","172.16.0.192","10.0.3.163","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","50.55.46.50"
"Jul  8 2016 06:09:06.591923000 UTC","232","172.16.0.201","10.0.3.172","mairie-rueilmalmaison.accueil-famille.fr","Internet (IN)","A","NoError","49.52.46.49"
